Date,Close/Last,Volume,Open,High,Low
07/12/2018,$18.29,6066718,$18.215,$18.34,$17.99
07/11/2018,$18.14,5061116,$18.435,$18.545,$17.98
07/10/2018,$18.67,5742120,$18.47,$18.705,$18.41
07/09/2018,$18.40,5732264,$18.305,$18.455,$18.19
07/06/2018,$18.225,4086092,$17.655,$18.27,$17.585
07/05/2018,$17.735,5124574,$17.97,$18.04,$17.69
07/03/2018,$17.98,5267096,$18.02,$18.28,$17.905
07/02/2018,$17.765,4402306,$17.82,$17.935,$17.61
06/29/2018,$18.035,11308864,$17.61,$18.075,$17.61
06/28/2018,$17.44,10510636,$17.275,$17.49,$17.025
06/27/2018,$17.165,12730910,$17.23,$17.34,$17.14
06/26/2018,$16.975,10335536,$16.535,$17.0925,$16.505
06/25/2018,$16.42,9265340,$16.61,$16.675,$16.3925
06/22/2018,$16.63,9421612,$16.195,$16.715,$16.195
06/21/2018,$15.77,7745660,$15.875,$15.92,$15.72
06/20/2018,$16.01,6299838,$15.95,$16.075,$15.71
06/19/2018,$15.77,5259888,$15.705,$16.06,$15.63
06/18/2018,$15.93,7746188,$15.60,$16.095,$15.555
06/15/2018,$15.61,6756356,$15.93,$15.93,$15.455
06/14/2018,$16.035,8293406,$16.455,$16.515,$16.025
06/13/2018,$16.50,5941512,$16.525,$16.695,$16.435
06/12/2018,$16.535,7792254,$16.65,$16.785,$16.445
06/11/2018,$16.65,6537354,$16.835,$16.88,$16.65
06/08/2018,$16.87,6124280,$16.95,$17.035,$16.76
06/07/2018,$16.945,5651642,$16.925,$17.3075,$16.865
06/06/2018,$16.785,4731322,$16.95,$17.06,$16.725
06/05/2018,$16.835,5551414,$16.865,$17.015,$16.7625
06/04/2018,$16.93,8246228,$17.33,$17.38,$16.68
06/01/2018,$17.23,6157238,$17.33,$17.515,$17.1825
05/31/2018,$17.28,7436888,$17.42,$17.505,$17.05
05/30/2018,$17.595,7752942,$17.305,$17.61,$17.255
05/29/2018,$17.135,6929848,$17.055,$17.2832,$16.995
05/25/2018,$17.175,10325440,$17.415,$17.46,$17.0463
05/24/2018,$17.875,5526808,$18.06,$18.225,$17.7525
05/23/2018,$18.285,5652840,$18.24,$18.50,$18.1045
05/22/2018,$18.435,6765522,$18.83,$19.10,$18.425
05/21/2018,$18.675,4188554,$18.895,$18.965,$18.575
05/18/2018,$18.695,7198846,$18.625,$18.7675,$18.595
05/17/2018,$18.75,10986662,$18.585,$18.865,$18.47
05/16/2018,$18.35,6021916,$18.175,$18.38,$18.175
05/15/2018,$18.205,6834882,$18.335,$18.40,$18.18
05/14/2018,$18.355,12318636,$18.15,$18.415,$18.12
05/11/2018,$17.995,7264076,$18.15,$18.195,$17.885
05/10/2018,$18.115,14781236,$17.975,$18.255,$17.83
05/09/2018,$17.825,17624434,$17.535,$17.99,$17.47
05/08/2018,$17.135,36090100,$16.875,$17.195,$16.77
05/07/2018,$17.555,5872888,$17.925,$18.09,$17.535
05/04/2018,$17.77,3070446,$17.61,$17.925,$17.555
